epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.987,2.08396,3.77156,1.48971,0.16745,0.37037,0.15633,0.09113,0.97804,11.2207,1.1866,0.000665354,0.000665354,0.000665354
2,303.113,2.34578,2.53789,1.69769,0.12916,0.14832,0.08461,0.02264,0.94681,21.8399,0.97468,0.00128806,0.00128806,0.00128806
3,447.318,2.35419,2.36177,1.72803,0.07803,0.14815,0.03593,0.01258,1.0432,18.7963,1.01004,0.00186677,0.00186677,0.00186677
4,592.677,2.24596,2.22496,1.66259,0.13426,0.22222,0.12038,0.07006,0.80239,11.9931,0.87041,0.001802,0.001802,0.001802
5,736.359,2.1296,2.03554,1.59024,0.42258,0.22222,0.30544,0.14273,0.78678,3.10765,0.84096,0.001736,0.001736,0.001736
6,870.747,2.0518,1.90288,1.54726,0.62966,0.37037,0.4408,0.24045,0.76387,3.15957,0.85094,0.00167,0.00167,0.00167
7,1008.02,1.97136,1.81296,1.49088,0.33199,0.48148,0.36164,0.21133,0.74331,8.17515,0.75777,0.001604,0.001604,0.001604
8,1144.77,1.93118,1.73643,1.45611,0.65561,0.49395,0.51756,0.25188,0.73131,4.99593,0.79191,0.001538,0.001538,0.001538
9,1281.99,1.88414,1.66886,1.43032,0.31506,0.55556,0.40421,0.23957,0.66433,6.30458,0.73457,0.001472,0.001472,0.001472
10,1422.9,1.83226,1.57662,1.40322,0.46422,0.7037,0.48123,0.28127,0.68912,5.07252,0.74173,0.001406,0.001406,0.001406
11,1565.67,1.80273,1.5628,1.3848,0.74165,0.48148,0.55693,0.38186,0.59825,6.0315,0.71289,0.00134,0.00134,0.00134
12,1706.91,1.77028,1.48371,1.37459,0.57425,0.55556,0.52073,0.3535,0.5964,10.1395,0.70249,0.001274,0.001274,0.001274
13,1843.73,1.74913,1.46027,1.35721,0.6124,0.55556,0.61516,0.39035,0.62147,4.74257,0.70208,0.001208,0.001208,0.001208
14,1976.31,1.7401,1.42348,1.33901,0.61,0.59259,0.59833,0.40221,0.63086,8.21477,0.7185,0.001142,0.001142,0.001142
15,2107.59,1.69901,1.37115,1.32047,0.60389,0.62963,0.6307,0.40864,0.61028,4.06335,0.69699,0.001076,0.001076,0.001076
16,2241.61,1.6827,1.35755,1.31672,0.9282,0.47896,0.68214,0.4699,0.56926,3.76595,0.66345,0.00101,0.00101,0.00101
17,2377.8,1.65273,1.28992,1.29734,0.70309,0.70171,0.69271,0.46686,0.55453,4.74114,0.64108,0.000944,0.000944,0.000944
18,2507.68,1.62517,1.26816,1.27783,0.74723,0.65721,0.75346,0.54335,0.50984,4.51803,0.61492,0.000878,0.000878,0.000878
19,2638.91,1.61237,1.24072,1.27599,0.79592,0.74074,0.78414,0.5355,0.49404,4.67224,0.6178,0.000812,0.000812,0.000812
20,2773.97,1.58317,1.20555,1.25827,0.69158,0.7037,0.74117,0.50722,0.50933,3.23509,0.59535,0.000746,0.000746,0.000746
21,2914.29,1.57418,1.17021,1.25182,0.68032,0.6306,0.68647,0.43738,0.56351,3.33966,0.65891,0.00068,0.00068,0.00068
22,3047.76,1.55083,1.14102,1.23616,0.77844,0.62963,0.74539,0.54811,0.47671,3.54911,0.59655,0.000614,0.000614,0.000614
23,3181.78,1.52596,1.09578,1.22501,0.81423,0.7037,0.78808,0.58591,0.49718,3.05994,0.59717,0.000548,0.000548,0.000548
24,3318.5,1.51425,1.06882,1.21019,0.71628,0.81481,0.82134,0.58522,0.50815,3.37443,0.61035,0.000482,0.000482,0.000482
25,3449.16,1.50545,1.05593,1.20406,0.79875,0.73517,0.81052,0.57704,0.5107,2.65756,0.58612,0.000416,0.000416,0.000416
26,3573.63,1.46305,1.03216,1.19297,0.66169,0.79713,0.76177,0.58336,0.46552,2.62396,0.57502,0.00035,0.00035,0.00035
27,3700.93,1.46075,1.01339,1.18615,0.83921,0.77341,0.80645,0.59538,0.45667,3.10289,0.56668,0.000284,0.000284,0.000284
28,3828.98,1.43613,0.97729,1.17342,0.84218,0.79087,0.84138,0.61648,0.48142,2.79326,0.5845,0.000218,0.000218,0.000218
29,3957.59,1.42083,0.96325,1.16806,0.77999,0.78808,0.80681,0.58643,0.46957,3.30083,0.56836,0.000152,0.000152,0.000152
30,4085.57,1.40152,0.94024,1.14918,0.82883,0.81481,0.8445,0.62143,0.46309,2.85375,0.56785,8.6e-05,8.6e-05,8.6e-05
