epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.7382,2.29605,3.51269,1.46309,0.29271,0.14815,0.13687,0.05515,1.12907,8.16598,0.9732,0.000665354,0.000665354,0.000665354
2,128.383,2.58071,2.58615,1.65592,0.37934,0.11111,0.08447,0.04624,1.12656,9.85323,1.08645,0.00126609,0.00126609,0.00126609
3,188.498,2.53859,2.43958,1.67392,0.14983,0.14815,0.08316,0.02653,1.24101,4.78548,1.25169,0.00180082,0.00180082,0.00180082
4,247.691,2.46306,2.29431,1.63188,0.20813,0.15605,0.14363,0.06678,1.08463,6.03536,1.16159,0.001703,0.001703,0.001703
5,307.789,2.32516,2.12892,1.5505,0.49269,0.25926,0.27786,0.11997,1.20294,3.91763,1.16712,0.001604,0.001604,0.001604
6,366.826,2.22434,1.94203,1.50523,0.37821,0.25926,0.23536,0.11527,0.92394,6.19787,1.00356,0.001505,0.001505,0.001505
7,426.059,2.14949,1.88347,1.4639,0.38005,0.25926,0.27746,0.15836,0.86973,3.41415,0.91461,0.001406,0.001406,0.001406
8,485.545,2.07997,1.80766,1.40857,0.41539,0.44444,0.43694,0.23794,0.89191,4.03221,0.87349,0.001307,0.001307,0.001307
9,545.528,2.00764,1.68125,1.37274,0.48326,0.48504,0.3671,0.20526,0.87712,2.12956,0.87032,0.001208,0.001208,0.001208
10,604.634,1.96395,1.62961,1.34707,0.60391,0.50855,0.4689,0.27375,0.75472,3.50196,0.81637,0.001109,0.001109,0.001109
11,665.959,1.91702,1.5732,1.33777,0.57125,0.62963,0.58289,0.31465,0.80944,3.48744,0.85524,0.00101,0.00101,0.00101
12,726.473,1.89196,1.51445,1.30498,0.52746,0.7037,0.61756,0.3931,0.71396,3.31922,0.8,0.000911,0.000911,0.000911
13,786.55,1.83643,1.4607,1.28047,0.67573,0.66667,0.64855,0.43527,0.66207,4.10238,0.73719,0.000812,0.000812,0.000812
14,847.567,1.80167,1.41355,1.26541,0.5683,0.7037,0.58516,0.35192,0.68555,4.72179,0.75892,0.000713,0.000713,0.000713
15,906.86,1.76124,1.36071,1.24399,0.90359,0.7037,0.77845,0.48287,0.67974,3.01655,0.74836,0.000614,0.000614,0.000614
16,966.694,1.72126,1.31001,1.22433,0.8722,0.75872,0.8128,0.51346,0.64582,3.30265,0.69631,0.000515,0.000515,0.000515
17,1028.09,1.69205,1.27389,1.20212,0.71895,0.77778,0.7577,0.47367,0.63534,2.72199,0.70065,0.000416,0.000416,0.000416
18,1087.75,1.66634,1.23585,1.18487,0.85586,0.74074,0.7845,0.50951,0.59903,2.54761,0.67052,0.000317,0.000317,0.000317
19,1147.4,1.62074,1.19851,1.17256,0.79412,0.81481,0.80173,0.55087,0.54683,2.43517,0.65551,0.000218,0.000218,0.000218
20,1208.26,1.59688,1.16277,1.16245,0.78418,0.85185,0.80614,0.56027,0.54867,2.90678,0.65183,0.000119,0.000119,0.000119
