epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.1808,1.9393,6.38734,1.58041,0.29014,0.11111,0.12709,0.04753,1.2768,39.3164,1.16499,0.000663805,0.000663805,0.000663805
2,116.437,2.68921,5.26433,2.18271,0.00022,0.33333,0.0007,0.00016,1.81967,9.92202,1.80844,0.00126461,0.00126461,0.00126461
3,169.896,2.8143,4.20533,2.44676,0.00017,0.51852,0.00013,5e-05,2.07848,30266,6.51241,0.00179942,0.00179942,0.00179942
4,223.691,2.91585,3.80898,2.64383,0.19613,0.18519,0.1073,0.04151,1.52526,11.698,1.57389,0.001703,0.001703,0.001703
5,277.339,2.86858,3.46992,2.58918,0.12157,0.14815,0.0925,0.04151,1.44555,6.19888,1.44695,0.001604,0.001604,0.001604
6,331.337,2.75978,3.23243,2.4167,0.15057,0.07407,0.08488,0.03613,1.28968,11.9016,1.34715,0.001505,0.001505,0.001505
7,385.759,2.58037,3.05537,2.37766,0.37172,0.14815,0.12387,0.05113,1.39527,2.64579,1.31243,0.001406,0.001406,0.001406
8,441.119,2.52649,2.95149,2.27237,0.09879,0.14815,0.09057,0.02637,1.27267,2.97038,1.28862,0.001307,0.001307,0.001307
9,496.594,2.40196,2.71379,2.21136,0.15021,0.15066,0.12403,0.05851,1.2361,4.84312,1.26388,0.001208,0.001208,0.001208
10,552.263,2.4037,2.70022,2.19305,0.42272,0.10884,0.14447,0.05403,1.10864,7.94353,1.21294,0.001109,0.001109,0.001109
11,639.219,2.2741,2.6634,2.13402,0.36987,0.22222,0.19802,0.08401,1.24501,5.7382,1.31972,0.00101,0.00101,0.00101
12,699.369,2.22672,2.48059,2.06834,0.2801,0.22222,0.21646,0.08367,1.08418,6.4515,1.1533,0.000911,0.000911,0.000911
13,761.652,2.14339,2.33799,2.0379,0.32928,0.22222,0.24207,0.09588,1.15041,2.58743,1.1899,0.000812,0.000812,0.000812
14,819.573,2.12475,2.25398,2.03061,0.21836,0.47602,0.22189,0.08888,1.09691,3.11203,1.15091,0.000713,0.000713,0.000713
15,877.922,2.08579,2.22767,1.94662,0.46526,0.45135,0.37188,0.14119,1.09377,2.45729,1.12412,0.000614,0.000614,0.000614
16,937.356,1.99174,2.1162,1.89004,0.41819,0.47924,0.41613,0.17708,1.03852,3.26219,1.07928,0.000515,0.000515,0.000515
17,995.889,2.02931,2.05003,1.91287,0.54624,0.40741,0.41394,0.17995,1.01352,2.8539,1.06234,0.000416,0.000416,0.000416
18,1054.88,1.89694,1.96647,1.78282,0.58032,0.37037,0.44753,0.19488,0.95506,2.53148,1.00943,0.000317,0.000317,0.000317
19,1116.35,1.8616,1.84137,1.77396,0.63012,0.44444,0.54987,0.24336,0.89157,3.67225,0.9835,0.000218,0.000218,0.000218
20,1174.15,1.7974,1.77156,1.71281,0.61312,0.44444,0.52409,0.23324,0.88208,1.89893,0.98056,0.000119,0.000119,0.000119
